Reference,Species,Family,Observations,Pub,"Seed
size (mg)","Exp.
cond","Census
time (months)","Life
form",r_survival,n_survival,r_growth,n_growth,r_fecundity,n_fecundity
Abbott et al. 1998,Senecio vulgaris,Asteraceae,Early sown; NR seeds,1,0.22,NF,7,A,-0.148,720,,,,
Abbott et al. 1998,Senecio vulgaris,Asteraceae,Early sown; R seeds,1,0.22,NF,7,A,0.095,735,,,,
Abbott et al. 1998,Senecio vulgaris,Asteraceae,Late sown; NR seeds,1,0.22,NF,7,A,0.439,723,,,,
Abbott et al. 1998,Senecio vulgaris,Asteraceae,Late sown; R seeds,1,0.22,NF,7,A,0.08,839,,,,
"Mineau and Puech 
        1987",Sanguisorba minor,Rosaceae,site1 yr85,1,1.8,F,12,P,-0.391,99,,,,
"Mineau and Puech 
        1987",Sanguisorba minor,Rosaceae,site2 yr 85,1,1.8,F,12,P,-0.203,416,,,,
"Mineau and Puech 
        1987",Sanguisorba minor,Rosaceae,site 1 yr 86,1,1.8,F,24,P,-0.022,372,,,,
"Mineau and Puech 
        1987",Sanguisorba minor,Rosaceae,site 2 yr 86,1,1.8,F,24,P,-0.426,578,,,,
"de Luis Arrillaga 
        2002",Cistus albidus,Cistaceae,Control,0,1.1,F,36,P,-0.236,388,-0.64,128,,
"de Luis Arrillaga 
        2002",Cistus albidus,Cistaceae,Control,0,1.1,F,36,P,-0.236,388,-0.64,128,,
"de Luis Arrillaga 
        2002",Helianthemum marifolium,Cistaceae,Control,0,,F,36,P,-0.361,255,-0.36,80,,
"de Luis Arrillaga 
        2002",Helianthemum marifolium,Cistaceae,Eroded,0,,F,36,P,-0.227,252,-0.386,65,,
"de Luis Arrillaga 
        2002",Ononis fruticosa,Fabaceae,Control,0,,F,36,P,0.108,125,-0.3,45,,
"de Luis Arrillaga, 
        2002",Ononis fruticosa,Fabaceae,Eroded,0,,F,36,P,0.15,79,,,,
"de Luis Arrillaga, 
        2002",Ulex parviflorus,Fabaceae,Control,0,4.07,F,36,P,-0.002,118,-0.487,27,,
"de Luis Arrillaga 
        2002",Ulex parviflorus,Fabaceae,Eroded,0,4.07,F,36,P,0.086,136,-0.344,20,,
"Espigares and Peco 
        1995",Several spp,,46 annual species,1,,NF,2,A,-0.167,5713,,,,
"Verdú, personal 
        observation",Pistacia lentiscus,Anacardiaceae,,0,15.72,F,31,P,0.475,141,,,,
"García and Obeso, 
        personal communication",Crataegus monogyna,Rosaceae,,0,87.1,F,12,P,0.178,294,,,,
"García and Obeso, 
        personal communication",Ilex aquifolium,Aquifoliaceae,,0,28.2,F,12,P,0.101,803,,,,
"García and Obeso, 
        personal communication",Taxus baccata,Taxaceae,,0,66.3,F,12,P,0.052,92,,,,
"Rodríguez et al., 
        personal communication",Crataegus monogyna,Rosaceae,,0,112.4,F,17,P,0.274,25,,,,
"Rodríguez et al., 
        personal communication",Ephedra fragilis,Ephedraceae,,0,11.9,F,7,P,-0.153,80,,,,
"Rodríguez et al., 
        personal communication",Osyris alba,Santalaceae,,0,91.8,F,9,P,-0.469,165,,,,
"Rodríguez et al., 
        personal communication",Rhamnus alaternus,Rhamnaceae,,0,9.4,F,6,P,-0.5,71,,,,
"Rodríguez et al., 
        personal communication",Rhamnus ludovici-salvatoris,Rhamnaceae,,0,4.5,F,6,P,-0.479,36,,,,
"Rodríguez et al., 
        personal communication",Rubia peregrina,Rubiaceae,,0,20.4,F,18,P,0.259,103,,,,
"Rodríguez et al., 
        personal communication",Rubus ulmifolius,Rosaceae,,0,3.3,F,17,P,0.19,23,,,,
"Rodríguez et al., 
        personal communication",Solanum luteum,Solanaceae,,0,0.001,F,15,P,0.035,68,,,,
"Rodríguez et al., 
        personal communication",Solanum nigrum,Solanaceae,,0,0.001,F,16,P,0.21,66,,,,
"Rodríguez et al., 
        personal communication",Smilax aspera,Smilacaceae,,0,47.2,F,5,P,-0.454,25,,,,
Quintana et al. 2004,Cistus ladanifer,Cistaceae,yr1,1,1.19,F,36,P,-0.08,959,,,,
Quintana et al. 2004,Cistus ladanifer,Cistaceae,yr2,1,1.19,F,24,P,-0.022,694,,,,
Quintana et al. 2004,Erica umbellata,Ericaceae,yr1,1,,F,36,P,-0.056,1441,,,,
Quintana et al. 2004,Erica umbellata,Ericaceae,yr2,1,,F,24,P,0.218,439,,,,
Quintana et al. 2004,Rosmarinus officinalis,Lamiaceae,yr1,1,0.8,F,36,P,-0.015,363,,,,
